iter	Passed	Remaining
0	50	50724
1	55	27818
2	59	19861
3	62	15547
4	64	12817
5	66	10996
6	68	9681
7	70	8706
8	72	7979
9	74	7358
10	76	6892
11	78	6491
12	81	6153
13	83	5885
14	85	5602
15	86	5348
16	88	5134
17	90	4944
18	92	4770
19	94	4620
20	96	4487
21	98	4366
22	102	4339
23	104	4241
24	106	4160
25	109	4105
26	112	4065
27	116	4030
28	119	4015
29	123	3999
30	127	3974
31	130	3934
32	133	3901
33	136	3864
34	138	3828
35	143	3836
36	146	3812
37	148	3764
38	151	3722
39	153	3680
40	155	3637
41	159	3629
42	161	3588
43	163	3558
44	166	3530
45	168	3503
46	171	3479
47	173	3446
48	176	3416
49	178	3384
50	180	3352
51	182	3322
52	184	3291
53	186	3268
54	188	3238
55	190	3217
56	193	3196
57	194	3166
58	196	3136
59	198	3108
60	200	3083
61	202	3057
62	203	3030
63	205	3005
64	207	2980
65	209	2958
66	210	2938
67	212	2919
68	217	2939
69	220	2928
70	224	2933
71	226	2923
72	229	2918
73	232	2914
74	235	2907
75	238	2900
76	240	2882
77	242	2869
78	244	2855
79	247	2841
80	249	2829
81	251	2820
82	254	2808
83	256	2797
84	259	2788
85	262	2787
86	266	2801
87	270	2800
88	272	2794
89	275	2790
90	279	2790
91	282	2784
92	284	2775
93	286	2762
94	288	2749
95	290	2735
96	293	2730
97	295	2717
98	297	2707
99	299	2696
100	302	2689
101	304	2682
102	306	2672
103	309	2664
104	312	2659
105	314	2653
106	316	2644
107	319	2636
108	321	2630
109	324	2623
110	326	2617
111	329	2609
112	331	2600
113	333	2589
114	335	2580
115	337	2572
116	339	2565
117	342	2560
118	345	2555
119	347	2547
120	350	2544
121	352	2539
122	355	2538
123	358	2533
124	362	2535
125	365	2536
126	368	2530
127	370	2526
128	374	2531
129	380	2545
130	385	2557
131	387	2550
132	391	2550
133	394	2551
134	399	2559
135	402	2556
136	404	2550
137	407	2544
138	409	2539
139	413	2537
140	415	2530
141	417	2523
142	420	2517
143	423	2515
144	426	2516
145	429	2514
146	433	2513
147	435	2508
148	438	2503
149	441	2500
150	444	2500
151	447	2497
152	450	2491
153	452	2484
154	455	2485
155	459	2488
156	463	2486
157	466	2484
158	468	2479
159	472	2479
160	475	2475
161	478	2473
162	480	2468
163	483	2463
164	485	2458
165	488	2452
166	491	2453
167	494	2451
168	497	2444
169	499	2439
170	504	2445
171	508	2445
172	511	2442
173	513	2438
174	517	2437
175	519	2433
176	522	2429
177	525	2428
178	528	2426
179	531	2421
180	534	2417
181	539	2424
182	543	2425
183	545	2420
184	548	2415
185	551	2414
186	554	2410
187	557	2409
188	560	2404
189	562	2398
190	565	2393
191	567	2389
192	570	2383
193	573	2382
194	576	2378
195	578	2374
196	581	2369
197	584	2366
198	587	2364
199	590	2361
200	594	2361
201	598	2366
202	603	2368
203	606	2365
204	609	2362
205	611	2358
206	615	2356
207	618	2356
208	621	2353
209	624	2347
210	627	2347
211	632	2352
212	635	2349
213	638	2344
214	640	2337
215	643	2335
216	646	2333
217	650	2334
218	653	2330
219	656	2325
220	659	2323
221	661	2318
222	664	2316
223	667	2311
224	669	2306
225	671	2301
226	674	2296
227	676	2291
228	679	2286
229	681	2283
230	686	2284
231	688	2280
232	691	2277
233	694	2273
234	696	2267
235	698	2262
236	701	2258
237	704	2254
238	706	2250
239	709	2246
240	712	2244
241	715	2240
242	718	2237
243	722	2238
244	726	2237
245	728	2233
246	731	2228
247	733	2224
248	736	2221
249	740	2220
250	742	2216
251	745	2213
252	748	2210
253	751	2206
254	753	2201
255	757	2200
256	759	2196
257	762	2192
258	765	2189
259	767	2185
260	770	2180
261	773	2178
262	776	2175
263	778	2170
264	780	2165
265	783	2162
266	785	2157
267	787	2152
268	789	2146
269	791	2141
270	793	2135
271	795	2129
272	797	2124
273	800	2119
274	802	2114
275	804	2109
276	805	2103
277	807	2097
278	809	2092
279	812	2088
280	814	2084
281	816	2079
282	818	2073
283	820	2068
284	822	2062
285	824	2058
286	827	2054
287	829	2051
288	831	2045
289	833	2041
290	835	2035
291	837	2030
292	839	2026
293	842	2022
294	845	2020
295	847	2015
296	849	2010
297	851	2005
298	853	1999
299	854	1994
300	856	1989
301	859	1985
302	861	1981
303	863	1976
304	865	1971
305	867	1966
306	869	1962
307	871	1958
308	874	1956
309	877	1952
310	879	1947
311	880	1942
312	882	1937
313	886	1936
314	888	1931
315	890	1927
316	892	1923
317	894	1918
318	896	1913
319	898	1909
320	900	1904
321	902	1900
322	905	1898
323	907	1894
324	909	1889
325	911	1884
326	913	1879
327	915	1875
328	917	1871
329	920	1868
330	922	1864
331	924	1860
332	926	1855
333	928	1850
334	929	1845
335	931	1840
336	933	1836
337	935	1832
338	938	1830
339	940	1825
340	942	1820
341	943	1815
342	945	1810
343	948	1808
344	950	1804
345	952	1801
346	955	1797
347	956	1792
348	958	1788
349	960	1783
350	963	1780
351	965	1777
352	968	1774
353	970	1770
354	972	1766
355	974	1762
356	975	1757
357	977	1753
358	979	1748
359	981	1745
360	984	1742
361	986	1738
362	988	1734
363	990	1729
364	991	1725
365	993	1721
366	995	1716
367	998	1714
368	1000	1711
369	1002	1707
370	1004	1703
371	1006	1699
372	1008	1695
373	1010	1690
374	1013	1688
375	1016	1686
376	1017	1682
377	1019	1677
378	1021	1673
379	1022	1668
380	1024	1664
381	1026	1661
382	1028	1657
383	1031	1654
384	1033	1651
385	1035	1647
386	1037	1643
387	1039	1639
388	1041	1635
389	1044	1633
390	1046	1629
391	1048	1626
392	1050	1622
393	1052	1618
394	1054	1614
395	1055	1610
396	1057	1606
397	1060	1604
398	1062	1600
399	1064	1596
400	1066	1593
401	1068	1589
402	1070	1585
403	1072	1581
404	1074	1578
405	1076	1575
406	1078	1571
407	1081	1568
408	1082	1564
409	1084	1560
410	1086	1556
411	1087	1552
412	1089	1548
413	1092	1545
414	1094	1542
415	1096	1539
416	1098	1535
417	1100	1531
418	1101	1528
419	1103	1524
420	1105	1520
421	1108	1518
422	1110	1514
423	1112	1511
424	1114	1507
425	1115	1503
426	1117	1499
427	1119	1496
428	1121	1492
429	1123	1489
430	1125	1486
431	1127	1482
432	1129	1479
433	1131	1475
434	1133	1472
435	1135	1469
436	1137	1465
437	1139	1462
438	1142	1459
439	1144	1456
440	1146	1453
441	1149	1451
442	1151	1448
443	1154	1446
444	1156	1442
445	1159	1439
446	1161	1436
447	1162	1432
448	1164	1428
449	1166	1425
450	1167	1421
451	1169	1418
452	1171	1414
453	1173	1410
454	1174	1407
455	1176	1403
456	1178	1399
457	1179	1396
458	1181	1392
459	1183	1389
460	1185	1385
461	1186	1382
462	1188	1378
463	1191	1375
464	1192	1372
465	1194	1368
466	1196	1365
467	1198	1362
468	1200	1358
469	1202	1355
470	1204	1352
471	1206	1349
472	1208	1346
473	1210	1342
474	1212	1340
475	1215	1337
476	1217	1335
477	1220	1332
478	1222	1329
479	1223	1325
480	1225	1322
481	1227	1319
482	1230	1317
483	1233	1314
484	1235	1311
485	1237	1308
486	1238	1305
487	1240	1302
488	1243	1299
489	1245	1296
490	1247	1293
491	1249	1289
492	1251	1286
493	1253	1283
494	1255	1280
495	1258	1278
496	1260	1275
497	1263	1273
498	1265	1270
499	1267	1267
500	1269	1264
501	1271	1261
502	1274	1259
503	1277	1256
504	1280	1254
505	1282	1251
506	1284	1248
507	1286	1245
508	1288	1242
509	1290	1239
510	1293	1237
511	1295	1234
512	1297	1231
513	1299	1228
514	1301	1225
515	1303	1222
516	1305	1219
517	1307	1216
518	1310	1214
519	1312	1211
520	1314	1208
521	1316	1205
522	1317	1202
523	1322	1201
524	1325	1199
525	1327	1196
526	1329	1193
527	1331	1190
528	1334	1188
529	1336	1185
530	1338	1182
531	1340	1179
532	1342	1176
533	1345	1173
534	1347	1170
535	1350	1169
536	1352	1166
537	1355	1163
538	1357	1161
539	1359	1158
540	1361	1155
541	1363	1152
542	1365	1149
543	1368	1146
544	1370	1144
545	1372	1141
546	1374	1138
547	1376	1135
548	1378	1132
549	1380	1129
550	1383	1127
551	1385	1124
552	1387	1121
553	1389	1118
554	1391	1115
555	1393	1112
